name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Greg Dulcich,TE,6,MIA,176.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.996,0.988,0.966,0.944,0.873,0.816,0.646,0.593,0.429
RJ Harvey,RB,17,DEN,92.0,129.5,-7.9,0.000,0.996,1.000,0.996,0.986,0.925,0.827,0.585,0.402,0.146,0.034,0.001,0.000,0.000,0.000,0.000
Jordyn Tyson,WR,18,NO,83.0,141.5,-9.6,0.000,0.051,0.910,0.994,0.976,0.858,0.708,0.388,0.225,0.046,0.010,0.001,0.000,0.000,0.000,0.000
Patrick Mahomes,QB,4,KC,93.0,271.0,-10.5,1.000,1.000,1.000,0.996,0.989,0.951,0.904,0.604,0.432,0.154,0.049,0.009,0.004,0.002,0.001,0.001
Rico Dowdle,RB,18,PIT,96.0,126.0,-11.4,0.000,0.946,1.000,0.997,0.989,0.945,0.876,0.669,0.492,0.225,0.066,0.003,0.000,0.000,0.000,0.000
DK Metcalf,WR,19,PIT,84.0,138.0,-13.1,0.000,0.003,0.756,0.995,0.978,0.878,0.726,0.410,0.238,0.057,0.015,0.001,0.000,0.000,0.000,0.000
Dalton Schultz,TE,7,HOU,186.0,81.8,-13.8,0.000,0.379,0.992,1.000,1.000,1.000,0.999,0.997,0.993,0.979,0.967,0.912,0.871,0.753,0.707,0.568
Matthew Stafford,QB,5,LAR,97.0,267.5,-14.0,1.000,1.000,1.000,0.998,0.993,0.960,0.924,0.675,0.505,0.224,0.086,0.021,0.007,0.003,0.001,0.001
Malik Willis,QB,5,MIA,104.0,267.5,-14.0,1.000,1.000,1.000,0.999,0.996,0.978,0.959,0.789,0.667,0.389,0.201,0.070,0.032,0.011,0.006,0.005
Terrance Ferguson,TE,7,LAR,188.0,81.2,-14.2,0.000,0.034,0.758,1.000,1.000,1.000,1.000,0.998,0.994,0.976,0.963,0.926,0.887,0.766,0.724,0.592
Blake Corum,RB,19,LAR,99.0,122.5,-14.9,0.000,0.833,1.000,0.998,0.992,0.955,0.894,0.715,0.555,0.262,0.101,0.005,0.000,0.000,0.000,0.000
J.K. Dobbins,RB,19,DEN,100.0,122.5,-14.9,0.000,0.567,1.000,0.998,0.993,0.958,0.901,0.730,0.585,0.302,0.123,0.008,0.000,0.000,0.000,0.000
Alec Pierce,WR,20,IND,86.0,134.5,-16.6,0.000,0.000,0.472,0.995,0.984,0.895,0.752,0.462,0.280,0.081,0.026,0.002,0.000,0.000,0.000,0.000
Parker Washington,WR,20,JAX,87.0,134.5,-16.6,0.000,0.000,0.215,0.995,0.981,0.893,0.767,0.471,0.296,0.090,0.026,0.002,0.000,0.000,0.000,0.000
Michael Wilson,WR,20,ARI,89.0,134.5,-16.6,0.000,0.000,0.072,0.993,0.986,0.910,0.799,0.535,0.352,0.112,0.044,0.003,0.000,0.000,0.000,0.000
Courtland Sutton,WR,20,DEN,90.0,134.5,-16.6,0.000,0.000,0.013,0.979,0.983,0.914,0.810,0.546,0.366,0.123,0.047,0.003,0.000,0.000,0.000,0.000
Colby Parkinson,TE,8,LAR,199.0,78.5,-17.0,0.000,0.000,0.021,0.445,0.920,0.999,1.000,0.998,0.996,0.986,0.976,0.947,0.918,0.825,0.783,0.669
Baker Mayfield,QB,6,TB,107.0,264.0,-17.5,1.000,1.000,1.000,0.999,0.997,0.982,0.962,0.827,0.712,0.455,0.284,0.121,0.048,0.021,0.011,0.009
Kenneth Gainwell,RB,20,TB,109.0,119.0,-18.4,0.000,0.288,0.996,0.999,0.994,0.977,0.945,0.835,0.724,0.453,0.268,0.043,0.003,0.000,0.000,0.000
